,value
1,colonization credit
2,community composition
3,community structure
4,current habitat
5,current landscape
6,current species
7,delayed extinctions
8,disturbance regimes
9,environmental change
10,extinction debts
11,fragmented habitats
12,fragmented landscape
13,functional connectivity
14,functional groups
15,functional traits
16,future species
17,generalist species
18,habitat amount
19,habitat change
20,habitat connectivity
21,habitat degradation
22,habitat destruction
23,habitat fragmentation
24,habitat fragments
25,habitat patches
26,habitat quality
27,habitat restoration
28,habitat specialists
29,habitat types
30,highly fragmented
31,historical habitat
32,historical landscape
33,immigration credit
34,land-use change
35,land-use history
36,landscape change
37,landscape configuration
38,landscape dynamics
39,landscape fragmentation
40,landscape history
41,landscape legacy
42,landscape patterns
43,landscape scale
44,landscape structure
45,life-history traits
46,metapopulation dynamics
47,potential extinction
48,present landscape
49,spatial configuration
50,spatial patterns
51,spatial scale
52,spatial structure
53,specialist species
54,species-area relationship
55,species-area relationships
56,species abundance
57,species composition
58,species density
59,species dispersal
60,species distribution
61,species diversity
62,species dynamics
63,species extinction
64,species extinctions
65,species groups
66,species increased
67,species interactions
68,species losses
69,species occurrence
70,species persistence
71,species responses
72,species richness
73,species traits
74,species turnover
75,taxonomic groups
76,temporal dynamics
