"label","source_type","language","author","title","abstract","keywords","url","year","publisher","date_generated","source","volume","issue","start_page","end_page","doi","issn","accession_zr","place_published","edition","filename","n_duplicates","citation","screened_titles","notes","m3","pi","zz","cp","a1","screened_abstracts"
"ref_001","GEN","en","Forest Isaac Isbell and Michel Loreau and Forest Isbell and David Tilman and Stephen Polasky","IDEA AND PERSPECT IVE The biodiversity-dependent ecosystem service debt","debt","sequestration ; ecological production function ; economic valuation ; extinction debt ; global","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.1029.4881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"Forest Isaac Isbell et al. (NA) Idea and Perspect Ive the Biodiversity-Dependent Ecosystem Service Debt. <i>Gen</i>. ","selected",NA,NA,NA,NA,NA,NA,"selected"
"ref_002","CONF","en","Piqueray, Julien and Cristofoli, Sara and Bisteau, Emmanuelle and Palm, Rodolphe and Mahy, Grégory","Extinction debt and colonization credit: When both phenomena are integrated","Calcareous grasslands are among the most species-rich ecosystems in temperate countries. These ecosystems suffered a high fragmentation process during the last century. Fragmentation can lead to the creation of an extinction debt in remaining habitat patches. In our study site, it was shown in a previous study that Fragmented habitat patches (area loss since 1965 >80%) exhibited an extinction debt in comparison to Stable habitat patches (area loss since 1965 <80%). However, human activities also created new habitat patches in the landscape and provided therefore opportunities for calcareous grassland plant species to colonize new sites. They also provide opportunities for studying species colonization abilities in the context of habitat restoration. We analyzed species richness in these new patches in comparison to old patches in order to detect colonization credit. When taking as reference Fragmented patches (that exhibit an extinction debt) or all old patches (Fragmented and Stable), we concluded to the occurrence of a colonization credit in New patches. However, when the reference is Stable patches (the less likely to exhibit an extinction debt) alone, no colonization credit could be detected. Moreover, correspondence analysis revealed that New patches were similar to old patches in term of species composition. These results are encouraging for restoration programs. They also showed that the presence of an extinction debt in reference habitats can lead to mistaken conclusion in restoration monitoring. Extinction debt occurrence should be taken into account in the choice of reference habitats for evaluation of restoration success.","Life sciences :: Environmental sciences & ecology ; Sciences du vivant :: Sciences de l'environnement & écologie","https://orbi.uliege.be/handle/2268/71315",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"Piqueray, Julien et al. (2010) Extinction Debt and Colonization Credit: when both Phenomena are Integrated. <i>Conf</i>. ","selected",NA,NA,NA,NA,NA,NA,"selected"
"ref_003","GEN",NA,"GEN","Faculty Opinions recommendation of Balancing biodiversity in a changing environment: extinction debt, immigration credit and species turnover",NA,NA,"http://dx.doi.org/10.3410/f.5807957.5789055",2010,"Faculty Opinions Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"GEN (2010) Faculty Opinions Recommendation of Balancing Biodiversity in a Changing Environment: Extinction Debt, Immigration Credit and Species Turnover. <i>Gen</i>. ","selected",NA,NA,NA,NA,NA,NA,"selected"
"ref_004","JOUR","en","Piqueray, Julien and Cristofoli, Sara and Bisteau, Emmanuelle and Palm, Rodolphe and Mahy, Grégory","Testing coexistence of extinction debt and colonization credit in fragmented calcareous grasslands with complex historical dynamics","Calcareous grasslands are among the most species-rich ecosystems in temperate countries. However, these ecosystems have suffered from fragmentation and destruction during the last century. We studied the response of calcareous grassland plant diversity to landscape changes in Belgium. Results indicated that high area loss (since 1965) old habitat patches exhibited an extinction debt inverse to low area loss old habitat patches, little depending on the area loss threshold (60%, 70%, 80% or 90%) considered for the distinction between the high and low area loss patches. However, human activities also created new habitat patches in the landscape and therefore provided opportunities for calcareous grassland plant species to colonize new habitats. This also provided opportunities to study species colonization abilities in the context of habitat restoration. We analyzed species richness in new patches compared to old patches in order to detect colonization credit. We detected the presence of a colonization credit in new patches when using high loss old patches (area loss>80%, exhibiting an extinction debt) or all old patches as a reference. However, when the reference was low loss old patches alone (area loss<80%, less likely to exhibit an extinction debt), no colonization credit was detected. In addition, species composition was similar between new patches and old patches. These results are encouraging for restoration programs. However, the results indicated that the presence of an extinction debt in reference habitats could lead to inaccurate conclusions in restoration monitoring. Therefore, extinction debt should be considered when choosing reference habitats to evaluate restoration success. ; Peer reviewed","Belgium ; Calcareous grassland ; Colonization credit ; Extinction debt ; Vascular plants ; Life sciences :: Environmental sciences & ecology ; Sciences du vivant :: Sciences de l'environnement & écologie","http://dx.doi.org/10.1007/s10980-011-9611-5",2011,"Springer Science and Business Media LLC","2011 JUL","LANDSCAPE ECOLOGY",26,"6","823","836","10.1007/s10980-011-9611-5","0921-2973 and 1572-9761","WOS:000291485400005","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Piqueray, Julien et al. (2011) Testing Coexistence of Extinction Debt and Colonization Credit in Fragmented Calcareous Grasslands with Complex Historical Dynamics. <i>Jour</i>. ","selected",NA,"Article","DORDRECHT",NA,NA,NA,"selected"
"ref_005","JOUR","eng","Talluto, Matthew V. and Boulangeat, Isabelle and Vissault, Steve and Thuiller, Wilfried and Gravel, Dominique","Extinction debt and colonization credit delay range shifts of eastern North American trees","Global climate change is already having an impact on species ranges. For species with slow demography and limited dispersal, such as trees, lags between climate change and distribution shifts are likely to increase in the future. Such lags can be of critical importance to management and biodiversity of forests, because they can result in 'extinction debts', where populations temporarily persist under unsuitable conditions, and 'colonization credits', where suitable locations are not occupied owing to slow demography and limited dispersal. Here we use a range dynamics model based on metapopulation theory to show that the distributions of 21 dominant trees in eastern North America are out of equilibrium with climate and demonstrate both extinction debt and colonization credit. Moreover, lags are more severe at northern range limits, suggesting that range contraction in response to warming temperatures will outpace expansion.","CLIMATE-CHANGE ; SPECIES DISTRIBUTIONS ; VEGETATION STRUCTURE ; MODELS ; FOREST ; BIODIVERSITY ; PERSPECTIVE ; THRESHOLDS ; DIVERSITY ; DYNAMICS","https://pure.au.dk/portal/da/publications/extinction-debt-and-colonization-credit-delay-range-shifts-of-eastern-north-american-trees(4788d867-b614-465b-9d20-f45cd3777806).html",2017,"Springer Science and Business Media LLC","2017 JUL","NATURE ECOLOGY & EVOLUTION",1,"7",NA,NA,"10.1038/s41559-017-0182","2397-334X","WOS:000417179000011","HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Talluto, Matthew V. et al. (2017) Extinction Debt and Colonization Credit Delay Range Shifts of Eastern North American Trees. <i>Jour</i>. ","selected",NA,"Article","BERLIN",NA,NA,NA,"selected"
"ref_006","JOUR",NA,"Kitzes, Justin and Harte, John","Predicting extinction debt from community patterns","Abstract ; A significant challenge in both measuring and predicting species extinction rates at global and local scales is the possibility of extinction debt, time-delayed extinctions that occur gradually following an initial impact. Here we examine how relative abundance distributions and spatial aggregation combine to influence the likely magnitude of future extinction debt following habitat loss or climate-driven range contraction. Our analysis is based on several fundamental premises regarding abundance distributions, most importantly that species abundances immediately following habitat loss are a sample from an initial relative abundance distribution and that the long-term, steady-state form of the species abundance distribution is a property of the biology of a community and not of area. Under these two hypotheses, the results show that communities following canonical lognormal and broken-stick abundance distributions are prone to exhibit extinction debt, especially when species exhibit low spatial aggregation. Conversely, communities following a logseries distribution with a constant Fisher's α parameter never demonstrate extinction debt and often show an “immigration credit,” in which species richness rises in the long term following an initial decrease. An illustration of these findings in 25 biodiversity hotspots suggests a negligible immediate extinction rate for bird communities and eventual extinction debts of 30–50% of initial species richness, whereas plant communities are predicted to immediately lose 5–15% of species without subsequent extinction debt. These results shed light on the basic determinants of extinction debt and provide initial indications of the magnitude of likely debts in landscapes where few empirical data are available.","Environmental Science ; Ecology","https://doi.org/10.6084/M9.FIGSHARE.C.3307872.V1",2016,"Figshare","2015 AUG","ECOLOGY",96,"8","2127","2136","10.1890/14-1594.1","0012-9658 and 1939-9170","WOS:000358454500011","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Kitzes, Justin et al. (2016) Predicting Extinction Debt from Community Patterns. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_007","JOUR","eng","Bagaria Morató, Guillem and Helm, Aveliina and Rodà, F. (Ferran), 1953- and Pino i Vilalta, Joan","Assessing coexisting plant extinction debt and colonization credit in a grassland–forest change gradient","Changes in species richness along the ecological succession gradient may be strongly determined by coexisting extinction debts of species from the original habitats and colonization credits of those from the replacing habitats. The magnitude of these processes and their causes remain largely unknown. We explored the extinction debt and colonization credit for grassland and forest specialist plants, respectively, and the local and landscape factors associated to the richness of these species groups in a 50-year process of forest encroachment into semi-natural Mediterranean grasslands. A set of sampling plots of persistent grasslands and forests and their transitional habitat (wooded grasslands) was selected within fixed-area sites distributed across the landscape. Our results confirm the extinction debt and suggest colonization credit (according to observed trends and model predictions) in wooded grasslands when compared to persistent forests, despite wooded grasslands and persistent forests having similar tree cover. Grassland connectivity and solar radiation had opposing effects on the richness of both grassland and forest specialists, and it is possible that the availability of seed sources from old forests may have accelerate the payment of colonization credit in the wooded grasslands. These results suggest that extinction debt and colonization credit have driven species turnover during the 50 years of forest encroachment, but at different rates, and that local and landscape factors have opposing effects on these two phenomena. They also highlight the importance of documenting biodiversity time lags following habitat change when they are still in progress in order to timely and adequately manage habitats of high conservation value such as the grasslands studied here.","Biodiversity change ; Habitat change ; Mediterranean grasslands ; Variegated landscape ; Vascular plants","http://dx.doi.org/10.1007/s00442-015-3377-4",2015,"Springer Science and Business Media LLC","2015 NOV","OECOLOGIA",179,"3","823","834","10.1007/s00442-015-3377-4","0029-8549 and 1432-1939","WOS:000363559800019","233 SPRING ST, NEW YORK, NY 10013 USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",2,"Bagaria Morató, Guillem et al. (2015) Assessing Coexisting Plant Extinction Debt and Colonization Credit in a Grassland–forest Change Gradient. <i>Jour</i>. ","selected",NA,"Article","NEW YORK",NA,NA,NA,"selected"
"ref_008","JOUR","en","Isbell, Forest and Tilman, David and Polasky, Stephen and Loreau, Michel","The biodiversity-dependent ecosystem service debt","International audience ; Habitat destruction is driving biodiversity loss in remaining ecosystems, and ecosystem functioning and services often directly depend on biodiversity. Thus, biodiversity loss is likely creating an ecosystem service debt: a gradual loss of biodiversity‐dependent benefits that people obtain from remaining fragments of natural ecosystems. Here, we develop an approach for quantifying ecosystem service debts, and illustrate its use to estimate how one anthropogenic driver, habitat destruction, could indirectly diminish one ecosystem service, carbon storage, by creating an extinction debt. We estimate that c. 2–21 Pg C could be gradually emitted globally in remaining ecosystem fragments because of plant species loss caused by nearby habitat destruction. The wide range for this estimate reflects substantial uncertainties in how many plant species will be lost, how much species loss will impact ecosystem functioning and whether plant species loss will decrease soil carbon. Our exploratory analysis suggests that biodiversity‐dependent ecosystem service debts can be globally substantial, even when locally small, if they occur diffusely across vast areas of remaining ecosystems. There is substantial value in conserving not only the quantity (area), but also the quality (biodiversity) of natural ecosystems for the sustainable provision of ecosystem services.","biodiversity conservation ; biodiversity–ecosystem functioning relationships ; carbon storage and sequestration ; ecological production function ; economic valuation ; extinction debt ; global ecoregions ; habitat destruction ; natural capital ; social cost of carbon ; [SDE.BE]Environmental Sciences/Biodiversity and Ecology","https://hal-univ-tlse3.archives-ouvertes.fr/hal-02962330",2015,"HAL CCSD ; Wiley","2015 FEB","ECOLOGY LETTERS",18,"2","119","134","10.1111/ele.12393","1461-023X and 1461-0248","WOS:000348719900001","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Isbell, Forest et al. (2015) The Biodiversity-Dependent Ecosystem Service Debt. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_009","JOUR","eng","Naaf, Tobias and Kolk, Jens","Colonization credit of post-agricultural forest patches in NE Germany remains 130–230 years after reforestation","In many temperate regions worldwide, a large portion of deciduous forest grows on former agricultural land, while a smaller portion is 'ancient' forest on sites with no historical record of agricultural land use. The differences in species diversity between ancient and post-agricultural forests have been well documented. However, in regions where forest fragmentation occurred only a few centuries ago, it remains unclear whether these differences are due to an extinction debt in ancient forests (i.e., a delay in local species extinction), a colonization credit in post-agricultural forests (i.e., species are yet to colonize a patch), or both. Additionally, our knowledge on how soil conditions and landscape configuration interact with species' traits to determine the colonization credit is limited. Here, we surveyed ancient and post-agricultural forest patches in NE Germany to quantify the magnitude of the colonization credit and identify its determinants. The colonization credit in an average forest patch amounted to 4.7 forest specialist species and ranged up to 9 species in highly isolated patches. In contrast, we found more species than predicted in patches better connected to ancient forests. The colonization credit was not smaller in older patches than it was in younger ones. Species with a low dispersal potential and a low seed output contributed most to the colonization credit. Our study demonstrates that in a landscape where the extinction debt has already been paid and only a small fraction of ancient forest is left, the recovery of forest specialist diversity in post-agricultural forests may take several centuries. (C) 2014 The Authors. Published by Elsevier Ltd.","Dispersal potential ; Temperate forest ; Immigration ; Herb layer ; Ancient forest ; Habitat connectivity","https://repository.publisso.de/resource/frl:6405805",2014,"ELSEVIER SCI LTD","2015 FEB","BIOLOGICAL CONSERVATION",182,NA,"155","163","10.1016/j.biocon.2014.12.002","0006-3207 and 1873-2917","WOS:000349501400020","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",2,"Naaf, Tobias et al. (2014) Colonization Credit of Post-Agricultural Forest Patches in Ne Germany Remains 130–230 Years after Reforestation. <i>Jour</i>. ","selected",NA,"Article","OXFORD",NA,NA,NA,"selected"
"ref_010","JOUR","en","Jackson, Stephen T. and Sax, Dov F.","Balancing biodiversity in a changing environment: extinction debt, immigration credit and species turnover","Here, we outline a conceptual framework for biodiversity dynamics following environmental change. The model incorporates lags in extinction and immigration, which lead to extinction debt and immigration credit, respectively. Collectively, these concepts enable a balanced consideration of changes in biodiversity following climate change, habitat fragmentation and other forcing events. They also reveal transient phenomena, such as biodiversity surpluses and deficits, which have important ramifications for biological conservation and the preservation of ecosystem services. Predicting such transient dynamics poses a serious conservation challenge in a time of rapid environmental change.",NA,"http://dx.doi.org/10.1016/j.tree.2009.10.001",2010,"ELSEVIER SCIENCE LONDON","2010 MAR","TRENDS IN ECOLOGY & EVOLUTION",25,"3","153","160","10.1016/j.tree.2009.10.001","0169-5347 and 1872-8383","WOS:000275605300005","84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Jackson, Stephen T. et al. (2010) Balancing Biodiversity in a Changing Environment: Extinction Debt, Immigration Credit and Species Turnover. <i>Jour</i>. ","selected",NA,"Review","LONDON",NA,NA,NA,"selected"
